,name,Clothes,Ears,Eyes,Fur,Hat,Mouth,asset_id,trait_n,Clothes_rarity,Ears_rarity,Eyes_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,trait_n_rarity,factoral_rarity,rarity_rank
2748,ApeGang #8191,Winter Coat,,Closed,Strong Dark Brown,Bandana,Grin Rainbow,3491,5,0.0251,0.7565,0.0302,0.1097,0.0186,0.0327,0.2848,171.24658415030086,2691
2749,ApeGang #8725,Purple Hoodie,,Robot,Brown,Viking Helmet,Baby Pacifier,3491,5,0.0232,0.7565,0.0265,0.4242,0.0187,0.0337,0.2848,171.17931528128534,2696
2750,ApeGang #5647,Blue Hoodie,,Heart,Brown,War Bonnet,Mustache,3491,5,0.0233,0.7565,0.033,0.4242,0.0174,0.0302,0.2848,170.9958240034171,2716
2751,ApeGang #6553,Orange Hawaiian Shirt ,,Laser,Strong Dark Brown,Propeller,,3491,4,0.0247,0.7565,0.0167,0.1097,0.0184,0.3141,0.3968,170.85540366454424,2726
2752,ApeGang #7441,Cop,,Closed,Brown,Banana,Nose Ring,3491,5,0.0245,0.7565,0.0302,0.4242,0.0172,0.0318,0.2848,170.7054766917847,2734
2753,ApeGang #5291,Indian,,Monocle,Brown,Sushi Chef,Oh,3491,5,0.0231,0.7565,0.034,0.4242,0.0181,0.0286,0.2848,170.10595336098245,2776
2754,ApeGang #2376,Yellow NBA Jersey,,Eye Patch,Cream,Stuntman Helmet,Cigarette,3491,5,0.0241,0.7565,0.0336,0.0845,0.0197,0.0323,0.2848,169.64428688440944,2814
2755,ApeGang #6199,Black Tank Top,,Eye Patch,Cream,Rabbit Ears,Grillz,3491,5,0.0227,0.7565,0.0336,0.0845,0.019,0.0378,0.2848,169.56880614753928,2825
2756,ApeGang #2184,Red Hawaiian Shirt,,Black Sunglasses,Grey,Purple Beanie,Tongue Out,3491,5,0.0283,0.7565,0.0453,0.0815,0.0159,0.0316,0.2848,169.05244728562965,2860
2757,ApeGang #1546,Indian,,Robot,Brown,Headphone,Joint,3491,5,0.0231,0.7565,0.0265,0.4242,0.02,0.0325,0.2848,168.9856147313693,2867
2758,ApeGang #8880,Pimp Coat,,Bruised,Brown,Halo,Oh,3491,5,0.0253,0.7565,0.0345,0.4242,0.0173,0.0286,0.2848,168.47019373460046,2912
2759,ApeGang #2027,Red NBA Jersey,,Scar,Brown,Top Hat,Grin Gold,3491,5,0.0248,0.7565,0.0347,0.4242,0.0168,0.0309,0.2848,168.2177851354224,2932
2760,ApeGang #2726,Red NBA Jersey,,Monocle,Brown,Party,Bubble Gum,3491,5,0.0248,0.7565,0.034,0.4242,0.018,0.028,0.2848,168.19467823637638,2935
2761,ApeGang #3319,Grey Striped T-Shirt,,Closed,Brown,Top Hat,Baby Pacifier,3491,5,0.0259,0.7565,0.0302,0.4242,0.0168,0.0337,0.2848,168.11051303524755,2944
2762,ApeGang #2432,Prison Jumpsuit,,Crazy,Strong Dark Brown,Chef's,Baby Pacifier,3491,5,0.0238,0.7565,0.0346,0.1097,0.0188,0.0337,0.2848,167.73250399596645,2983
2763,ApeGang #5497,Black Tank Top,,Black Sunglasses,Brown,Purple Beanie,Nose Ring,3491,5,0.0227,0.7565,0.0453,0.4242,0.0159,0.0318,0.2848,167.6580328807622,2989
2764,ApeGang #1284,Black Suit,,Scar,Black,Nurse,Corn,3491,5,0.0231,0.7565,0.0347,0.0868,0.0184,0.0326,0.2848,173.4850101544793,2522
2765,ApeGang #4023,Pirate,,Closed,Cream,Borsalino,Mustache,3491,5,0.0233,0.7565,0.0302,0.0845,0.021,0.0302,0.2848,173.43010066470015,2524
2766,ApeGang #3414,Toga,,3D Glasses,Cream,Cap,Flames,3491,5,0.026,0.7565,0.0315,0.0845,0.0175,0.0341,0.2848,173.34337309402457,2530
2767,ApeGang #3184,Purple Hoodie,,,Tiger,Fireman,Drool Rainbow,3491,4,0.0232,0.7565,0.3104,0.0517,0.0137,0.0326,0.3968,173.17704323973922,2538
2768,ApeGang #1102,Fireman,Diamond Stud,Robot,Black,Sombrero,,3491,5,0.0236,0.0483,0.0265,0.0868,0.0185,0.3141,0.2848,173.08239095501824,2542
2769,ApeGang #7431,Red Hawaiian Shirt,,Robot,Strong Dark Brown,Yellow NBA Headband,Tongue Out,3491,5,0.0283,0.7565,0.0265,0.1097,0.0186,0.0316,0.2848,172.42943188608635,2592
2770,ApeGang #8633,Nurse,,Heart,Cream,Crown,Baby Pacifier,3491,5,0.0235,0.7565,0.033,0.0845,0.0189,0.0337,0.2848,172.10729775401225,2621
2771,ApeGang #4900,Lumberjack,,Diving Mask,Brown,Sushi Chef,,3491,4,0.0227,0.7565,0.0158,0.4242,0.0181,0.3141,0.3968,171.975737870689,2630
2772,ApeGang #7676,Pimp Coat,,Closed,Brown,Pirate,Snake,3491,5,0.0253,0.7565,0.0302,0.4242,0.0162,0.033,0.2848,171.86019146131187,2644
2773,ApeGang #7701,Sheriff,Silver Hoop,Gold Sunglasses,Rainbow,,Cigarette,3491,5,0.0245,0.0482,0.0471,0.0195,0.3096,0.0323,0.2848,171.7776507220207,2655
2774,ApeGang #8355,Black Suit,,Sad,Brown,Top Hat,Grin Rainbow,3491,5,0.0231,0.7565,0.0322,0.4242,0.0168,0.0327,0.2848,171.64128480581394,2663
2775,ApeGang #7180,Indian,,3D Glasses,Black,Brain,Angry,3491,5,0.0231,0.7565,0.0315,0.0868,0.0209,0.0309,0.2848,171.59927488283176,2666
2776,ApeGang #2665,Banana Shirt,Gold Hoop,,Cream,Banana,Tongue Out,3491,5,0.0237,0.0475,0.3104,0.0845,0.0172,0.0316,0.2848,171.59903387614514,2667
2777,ApeGang #3520,,Airpods,Devil,Brown,Magician,Shocked,3491,5,0.2202,0.0475,0.0163,0.4242,0.0213,0.0316,0.2848,171.40619187551619,2681
2778,ApeGang #197,Purple Hoodie,,Monocle,Brown,Green Beanie,Nose Ring,3491,5,0.0232,0.7565,0.034,0.4242,0.0166,0.0318,0.2848,171.39320933316068,2683
2779,ApeGang #4220,Mexican,,Sad,Black,Chef's,Flames,3491,5,0.0243,0.7565,0.0322,0.0868,0.0188,0.0341,0.2848,171.07901690146468,2708
2780,ApeGang #6128,Red Hawaiian Shirt,,Round Glasses,Tiger,Cop,Nose Ring,3491,5,0.0283,0.7565,0.0348,0.0517,0.0195,0.0318,0.2848,170.97538618077962,2719
2781,ApeGang #9774,Batman,,Black Sunglasses,Brown,Banana,,3491,4,0.0123,0.7565,0.0453,0.4242,0.0172,0.3141,0.3968,170.89851948901793,2721
2782,ApeGang #6640,Toga,,Monocle,Cream,Party,Joint,3491,5,0.026,0.7565,0.034,0.0845,0.018,0.0325,0.2848,170.86552203932348,2725
2783,ApeGang #2567,Pirate,Airpods,Strabismus,Brown,,Grin Rainbow,3491,5,0.0233,0.0475,0.0149,0.4242,0.3096,0.0327,0.2848,170.76480893991817,2730
2784,ApeGang #9082,Sheriff,,Hippie Glasses,Grey,Cop,Smoke Pipe,3491,5,0.0245,0.7565,0.0341,0.0815,0.0195,0.0311,0.2848,170.68128351595317,2737
2785,ApeGang #4075,Blue Hoodie,,Robot,Strong Dark Brown,Fireman,,3491,4,0.0233,0.7565,0.0265,0.1097,0.0137,0.3141,0.3968,169.7885128192686,2802
2786,ApeGang #8113,Pimp Coat,,Monocle,Brown,Purple Beanie,Corn,3491,5,0.0253,0.7565,0.034,0.4242,0.0159,0.0326,0.2848,169.6958764077517,2810
2787,ApeGang #9476,Joker,Diamond Stud,Black Sunglasses,Brown,,Covid Mask,3491,5,0.012,0.0483,0.0453,0.4242,0.3096,0.029,0.2848,169.69366959933822,2811
2788,ApeGang #6563,Blue Hoodie,,Sad,Cheetah,Horn,,3491,4,0.0233,0.7565,0.0322,0.0294,0.0183,0.3141,0.3968,169.6585075566132,2812
2789,ApeGang #4246,Lab Coat,,Scar,Strong Dark Brown,Yellow NBA Headband,Shocked,3491,5,0.0242,0.7565,0.0347,0.1097,0.0186,0.0316,0.2848,169.49865163716754,2827
2790,ApeGang #6782,,,High,Strong Dark Brown,Crown,Nose Ring,3491,4,0.2202,0.7565,0.0148,0.1097,0.0189,0.0318,0.3968,169.42329606367963,2831
2791,ApeGang #7989,Indian,,Strabismus,Brown,Red NBA Headband,,3491,4,0.0231,0.7565,0.0149,0.4242,0.0202,0.3141,0.3968,169.2922041543533,2844
